userid,modelScore
4302,-0.080574702
4303,0.164954848
4304,-0.002022811
4305,0.062212841
4306,0.46057973
4307,-0.518402892
4308,0.003924636
4309,-0.024783737
4310,0.189744096
4311,-0.051599983
4312,0.044388227
4313,0.366528848
4314,0.249919888
4315,0.051734061
4316,-0.049158275
4317,0.248767263
4318,-0.052637625
4319,0.007703335
4320,0.321653775
4321,0.050944425
4322,0.179875604
4323,0.206327869
4324,0.074825044
4325,0.307512031
4326,0.052800387
4327,0.158465562
4328,-0.006196628
4329,0.027387991
4330,0.082445183
4331,0.169024392
4332,-0.016653401
4333,0.281752161
4334,-0.108065755
4335,0.133240126
4336,0.259234486
4337,0.24820955
4338,0.129056733
4339,0.187892123
4340,0.473161747
4341,0.213755138
4342,0.192399069
4343,0.021039085
4344,-0.084796492
4345,0.079390935
4346,-0.07807117
4347,0.064961627
4348,0.037293289
4349,-0.041514944
4350,0.042787
4351,0.18719264
4352,-0.182598527
4353,0.30278965
4354,0.203073429
4355,0.085155334
4356,0.059904244
4357,0.021174356
4358,-0.132691282
4359,0.013707725
4360,0.126285726
4361,0.234116845
4362,0.056787156
4363,-0.013725518
4364,0.282227318
4365,0.076342363
4366,0.063679733
4367,0.172760979
4368,0.068593765
4369,-0.127210978
4370,0.334620069
4371,-0.080414068
4372,0.147794872
4373,-0.271802414
4374,-0.123647276
4375,0.109495553
6672,0.324526639
6673,0.216113085
6674,0.088104008
6675,0.247642688
6676,0.435462719
6677,-0.05599776
6678,0.193424885
6679,0.043176311
6680,0.176561246
6681,-0.108856672
6682,-0.059652499
6683,0.440508346
6684,0.029075439
6685,0.07868488
6686,0.114099509
6687,-0.118890379
6688,0.14057301
6689,-0.072814993
6690,0.007071096
6691,0.042105033
6692,-0.253012234
6693,0.317773126
6694,0.03891102
6695,-0.043809058
6696,0.05729218
6697,0.205853373
6698,0.254285511
6699,0.21516405
6700,0.120394372
6701,0.388049202
6702,0.060207049
6703,0.204667837
6704,0.057528279
6705,0.015955174
6706,0.08178492
6707,0.126368406
6708,-0.148842724
6709,0.059909347
6710,0.127831034
6711,0.257404378
6712,0.281235539
6713,0.06970509
6714,0.399648375
6715,0.135555451
6716,-0.037050895
6717,0.195655749
6718,0.351727922
6719,0.435695672
6720,0.06882149
6721,0.056616995
6722,0.462480609
6723,0.085327076
6724,0.010115141
6725,0.308008876
6726,0.101920712
6727,0.199377161
6728,0.290879912
6729,0.168061329
6730,0.172922274
6731,0.206597772
6732,0.358445726
6733,0.190754193
6734,0.145214539
6735,0.04448458
6736,0.345585426
6737,-0.129516588
6738,0.131737563
6739,0.391359523
6740,-0.189832299
6741,0.026247398
6742,-0.089501492
6743,0.132554947
6744,0.171256997
6745,0.130428965
6746,0.439151069
6747,0.447287943
6748,0.100284953
6749,-0.022026831
6750,0.047263872
6751,0.384082748
6752,0.495112502
6753,0.337188311
6754,0.133630132
6755,0.102547869
6756,-0.026423449
6757,0.063999048
6758,0.252246427
6759,0.160127057
6760,-0.053419515
6761,0.059271769
6762,0.015497868
6763,0.182353096
6764,-0.111915803
6765,0.002307609
6766,0.022136955
6767,0.567437076
6768,0.263327464
6769,0.279217123
6770,-0.204920713
6771,0.037699191
6772,-0.054766304
6773,0.151112047
6774,0.03436533
6775,0.097610845
6776,-0.325747752
6777,0.28086983
6778,0.025456184
6779,0.011232092
6780,0.004223454
6781,0.10148207
6782,0.003629677
6783,0.222025216
6784,0.145847731
6785,0.235209526
6786,-0.188167583
6787,0.093046034
6788,0.205647099
6789,-0.260362474
6790,0.059575659
6791,0.237927959
6792,-0.088249605
6793,-0.077051002
6794,-0.30082579
6795,0.272763526
6796,0.226423129
6797,0.118810303
6798,0.142454608
6799,0.126700995
6800,0.457500943
6801,0.149115439
6802,0.087605026
6803,0.111756979
6804,0.397985479
6805,0.365484146
6806,0.153076775
6807,0.05137107
6808,-0.309277687
6809,-0.018530017
6810,-0.01163229
6811,0.129473421
6812,-0.065342113
6813,0.403439314
6814,0.007345477
6815,-0.315085683
6816,0.107632644
6817,0.25625374
6818,-0.083904073
6819,0.053447646
6820,0.180574879
6821,0.011253843
6822,-0.044571263
6823,0.341556178
6824,0.132566481
6825,-0.054506735
6826,0.075055721
6827,0.226376425
6828,0.182402881
6829,0.233847911
6830,-0.102763172
6831,-0.172891269
6832,0.097521189
6833,0.13059881
6834,0.173634349
6835,-0.160576065
6836,-0.13166261
6837,0.178764523
6838,0.096345656
6839,0.277181985
6840,-0.007815815
6841,-0.005223607
6842,0.071800417
6843,0.281304357
